Catégorie,Etudiants,Ensemble
Alimentation,20.28684547846927,18.96605193893534
Autres,14.800799004211289,16.625231590092678
Communications,3.64984480974825,2.71176583477876
Habillement,5.81292868912136,5.01212404691419
Habitation,28.88349544565129,21.93631573455383
Loisirs,13.67460355720037,16.55401239184861
Santé/Bien être,1.88817896507694,1.84261432833948
Transports,11.0033040505212,16.3518476492922
