libelle,date,montant,categorie
ARICI VILLEURBANNE,20/10/2021,4.4,Alimentation
IKONE LYON,15/10/2021,15.9,Loisirs
CARREFOUR MARKET VILLEURBA ,14/10/2021,61.04,Alimentation
MAXICOFFEE ARA NEYRON,14/10/2021,0.5,Alimentation
BANE LAO VILLEURBANNE,13/10/2021,14.35,Alimentation
INSTITUT LUMIERE LYON,13/10/2021,10.0,Loisirs
LVC VILLEURBANNE,13/10/2021,3.58,Alimentation
TENUE DE COMPTE ,12/10/2021,3.3,Autres
MAXICOFFEE ARA NEYRON,12/10/2021,1.0,Alimentation
Too Good To Go KOEBENHAVN,11/10/2021,3.99,Alimentation
FLAM'S LYON,08/10/2021,11.7,Loisirs
MUTUELLE UNEO UNEO/,05/10/2021,35.36,Santé/Bien être
VOISIN LYONPARTDIE /,04/10/2021,27.56,Autres
Too Good To Go KOEBENHAVN,04/10/2021,3.99,Alimentation
VIR INST vers ARLIM GESTION DONT ,02/10/2021,400.0,Habitation
CARREFOUR MARKET VILLEURBA ,30/09/2021,65.13,Alimentation
ANPILO VILLEURBANNE,28/09/2021,14.9,Loisirs
SMAC FRONTONAS,28/09/2021,10.5,Loisirs
Too Good To Go KOEBENHAVN,27/09/2021,4.0,Alimentation
Bouygues Telecom ,27/09/2021,11.99,Communications
UBER *EATS HELP.UBER.COM,24/09/2021,15.67,Alimentation
UZR*hso-ritterladen.d Grun ,23/09/2021,35.3,Autres
BP VILLEURB FACU,23/09/2021,4.64,Alimentation
S.L.T.C. LYON,22/09/2021,10.0,Transports
MAXICOFFEE ARA NEYRON,22/09/2021,0.5,Alimentation
MAXICOFFEE ARA NEYRON,22/09/2021,0.5,Alimentation
IZLY SMONEY PARIS,21/09/2021,37.5,Alimentation
MAXICOFFEE ARA NEYRON,21/09/2021,0.5,Alimentation
CARREFOUR MARKET VILLEURBA ,20/09/2021,106.09,Alimentation
PANZEROTTIAMO LYON,20/09/2021,5.3,Alimentation
YOGOLICIOUS LYON,20/09/2021,4.03,Autres
LES SAVONNERIES LYON ,20/09/2021,2.0,Habitation
YOGOLICIOUS LYON,20/09/2021,1.67,Loisirs
LVC VILLEURBANNE,17/09/2021,7.42,Alimentation
MAXICOFFEE ARA NEYRON,17/09/2021,0.5,Alimentation
Food Society Lyon,15/09/2021,10.0,Loisirs
Food Society Lyon Paris,15/09/2021,5.0,Loisirs
Food Society Lyon Paris,15/09/2021,4.3,Loisirs
CARREFOUR MARKET VILLEURBA ,14/09/2021,34.08,Alimentation
CAFE DES NEGOCIANTS LYON ,13/09/2021,35.0,Loisirs
CLAP ESCAPE LYON ,13/09/2021,24.0,Loisirs
THEATRE T.D.O. LYON ,10/09/2021,29.0,Loisirs
MC DO REPUBLIQUE LYON,09/09/2021,5.95,Loisirs
SumUp *Charlotte Ren VILLE ,06/09/2021,50.0,Santé/Bien être
KIABI ST PRIEST,06/09/2021,25.0,Habillement
AUCHAN ST PRIEST,06/09/2021,21.53,Habitation
PHIE PORTE DES A ST PRIEST ,06/09/2021,16.9,Santé/Bien être
ARICI VILLEURBANNE,06/09/2021,8.5,Alimentation
CARREFOUR MARKET VILLEURBA ,06/09/2021,5.3,Alimentation
TERRE ADELICE LYON,06/09/2021,5.0,Loisirs
BRIOCHE DOREE ST PRIEST,06/09/2021,2.7,Alimentation
MUTUELLE UNEO UNEO/,06/09/2021,35.36,Santé/Bien être
CARREFOUR MARKET VILLEURBA ,03/09/2021,78.56,Alimentation
K,03/09/2021,14.9,Loisirs
PHARMACIE BOY VU VILLEURBA ,03/09/2021,4.5,Santé/Bien être
S.L.T.C. LYON,02/09/2021,10.0,Transports
IZLY SMONEY PARIS,02/09/2021,10.0,Alimentation
VIR INST vers ARLIM GESTION DONT ,01/09/2021,400.0,Habitation
S.L.T.C. LYON,30/08/2021,15.1,Transports
BlaBlaCar Paris,27/08/2021,15.0,Transports
Bouygues Telecom ,27/08/2021,24.99,Communications
AMAZON PAYMENTS PAYLI,24/08/2021,48.08,Autres
AMAZON EU SARL PAYLI,23/08/2021,10.2,Autres
SNCF CRETEIL,16/08/2021,4.15,Transports
AMAPOLA PARIS,09/08/2021,42.0,Autres
PARIS CHALIGNY,09/08/2021,30.0,Autres
ERNEST & VALENTI PARIS,09/08/2021,14.7,Alimentation
RATP PARIS,09/08/2021,4.45,Transports
SNCF PARIS ,09/08/2021,4.45,Transports
SNCF INTERNET SAINT DENIS,06/08/2021,29.0,Transports
MUTUELLE UNEO UNEO/,05/08/2021,35.36,Santé/Bien être
AMAZON EU SARL PAYLI,02/08/2021,12.76,Santé/Bien être
WEB ARLIM GESTION LOYER AOUT ,01/08/2021,400.0,Habitation
Bouygues Telecom ,27/07/2021,24.99,Communications
COMPTOIR ACTIF VEZELAY,26/07/2021,5.0,Alimentation
BASILIQUE_DE_VEZELAY NANTE ,26/07/2021,2.0,Autres
RELAY ,12/07/2021,11.9,Loisirs
SNCF VERSAILLES,12/07/2021,6.15,Transports
LA FRANCAISE DES BOULOGNE,12/07/2021,5.0,Loisirs
,12/07/2021,1.0,Alimentation
TENUE DE COMPTE ,08/07/2021,3.3,Autres
MUTUELLE UNEO UNEO/,06/07/2021,42.56,Santé/Bien être
VOISIN LYONPARTDIE /,05/07/2021,37.31,Autres
RATP PARIS,05/07/2021,3.65,Transports
RATP PARIS,05/07/2021,2.55,Transports
SNCF INTERNET SAINT DENIS,02/07/2021,29.0,Transports
VIR INST vers ARLIM GESTION DONT ,01/07/2021,400.0,Habitation
CELIO LYON,29/06/2021,99.98,Habillement
ERAM ,29/06/2021,80.0,Habillement
LABO DU PARC LYON,29/06/2021,44.42,Santé/Bien être
LEAF MARKET LYON,29/06/2021,41.95,Autres
LABO DU PARC LYON,29/06/2021,9.72,Santé/Bien être
WKTL LYON PART DIEU,29/06/2021,3.5,Alimentation
CARREFOUR LYON,28/06/2021,24.87,Alimentation
BlaBlaCar Paris,28/06/2021,18.0,Transports
AQUARIUMS OCEWOR LA MULATI ,28/06/2021,16.0,Loisirs
JUL ,28/06/2021,15.99,Habillement
BURGERS DE PAPA LYON EME,28/06/2021,10.9,Loisirs
STARBUCKS LYON,28/06/2021,8.7,Alimentation
AQUARIUMS OCEANW LA MULATI ,28/06/2021,5.5,Loisirs
CC LPD LYON CEDEX ,28/06/2021,0.5,Autres
Bouygues Telecom ,28/06/2021,24.99,Communications
COMBIER AURELIE VILLEURBAN ,25/06/2021,7.5,Santé/Bien être
SUPER U LYON,25/06/2021,4.28,Alimentation
LA REDOUTE FR ROUBAIX,24/06/2021,39.99,Habillement
STEAK'N SHAKE LYON,24/06/2021,13.4,Loisirs
CARREFOUR MARKET VILLEURBA ,24/06/2021,3.55,Alimentation
FNAC LYON CEDEX ,23/06/2021,33.39,Loisirs
CARREFOUR PARTDI LYON,23/06/2021,6.55,Alimentation
WKTL LYON PART DIEU,23/06/2021,4.0,Alimentation
PAYPAL PARIS,22/06/2021,21.5,Autres
MONOPRIX LYON ,21/06/2021,32.69,Alimentation
LYON LOISIRS,21/06/2021,16.5,Loisirs
PIZZA LINA LYON,21/06/2021,11.0,Loisirs
TACO TACO LYON ,21/06/2021,10.3,Loisirs
VSD ,21/06/2021,8.9,Loisirs
AUBERGE CANUTS LYON,21/06/2021,8.0,Loisirs
CINEMA LUMIERE LYON,21/06/2021,6.7,Loisirs
SNCF LYON ,21/06/2021,6.4,Transports
FOURNIL VILLEURBANNE,21/06/2021,5.1,Alimentation
LE FOURNIL NEUVILLE SUR SA ,21/06/2021,3.6,Alimentation
PIZZA LINA LYON,21/06/2021,3.5,Loisirs
BIG FERNAND LYON,18/06/2021,20.2,Loisirs
MONOP LYON ,18/06/2021,10.39,Alimentation
FOURNITURE CARTE DEBIT MCD I ,16/06/2021,21.75,Autres
WEB Maman CADEAU JEAN-LOUIS FETE ,15/06/2021,37.0,Autres
LA VIEILLE CONSE LYON,14/06/2021,24.9,Autres
MAISON VICTOIRE LYON,14/06/2021,24.0,Autres
CHARCUTERIE GAST LYON ,14/06/2021,17.84,Autres
YI SUSHI LYON,14/06/2021,16.17,Loisirs
WKTL LYON PART DIEU,14/06/2021,14.5,Loisirs
RELAY ,14/06/2021,12.6,Loisirs
SNCF PARIS ,14/06/2021,11.1,Transports
BOUL DE LA HALLE LYON,14/06/2021,9.9,Alimentation
YI SUSHI LYON,14/06/2021,5.31,Loisirs
SM CASINO SAINT ,14/06/2021,2.63,Santé/Bien être
CARREFOUR MARKET VILLEURBA ,07/06/2021,85.2,Alimentation
KUBII DARDILLY,07/06/2021,33.64,Autres
MUTUELLE UNEO UNEO/,07/06/2021,35.36,Santé/Bien être
SNCF INTERNET PARIS ,01/06/2021,62.0,Transports
SNCF OUIGO PUTEAUX,01/06/2021,6.0,Transports
VIR INST vers ARLIM GESTION DONT ,01/06/2021,400.0,Habitation
CARREFOUR MARKET VILLEURBA ,31/05/2021,57.75,Alimentation
S.L.T.C. LYON,31/05/2021,32.5,Transports
PHIE CONDORCET VILLEURBANN ,31/05/2021,25.4,Santé/Bien être
AU FIL BISTROT LYON,31/05/2021,11.5,Loisirs
CARREFOUR MARKET VILLEURBA ,31/05/2021,10.9,Alimentation
ARICI VILLEURBANNE,31/05/2021,7.1,Alimentation
