libelle,date,montant,categorie
Fnac Lyon Cedex ,27/10/2020,30,Autres
Carrefour Lyon ,27/10/2020,"44,34",Alimentation
Uber *eats Help.uber.com,26/10/2020,"12,54",Alimentation
Sandrine Nougat Tassin La,26/10/2020,9,Alimentation
Des Arts Villeurbanne,26/10/2020,2,Habitation
Des Arts Villeurbanne,26/10/2020,2,Habitation
Des Arts Villeurbanne,26/10/2020,"3,6",Habitation
Des Arts Villeurbanne,26/10/2020,"3,6",Habitation
Des Arts Villeurbanne,26/10/2020,"3,6",Habitation
Carrefour Market Villeurba ,20/10/2020,"67,77",Alimentation
Pizza Carloni Villeurbanne ,19/10/2020,"11,5",Alimentation
Decitre Bellecour Lyon ,19/10/2020,"10,95",Loisirs
Casernedespains Ste Foy Le ,19/10/2020,1,Alimentation
Casernedespains Ste Foy Le ,19/10/2020,5,Alimentation
Bp Villeurb Facu,19/10/2020,"3,43",Alimentation
suelta verde Lyon ,19/10/2020,"19,5",Loisirs
Bane Lao Villeurbanne,16/10/2020,"12,11",Loisirs
S.l.t.c. Lyon,15/10/2020,"30,2",Transports
Pharmacie Boy Vu Villeurba ,15/10/2020,"23,9",Santé/Bien être
Tenue De Compte,14/10/2020,"3,15",Autres
Bp Villeurb Facu,13/10/2020,"3,52",Alimentation
Insa Le Galilee ,12/10/2020,50,Alimentation
Franprix ,12/10/2020,"2,9",Alimentation
Des Arts Villeurbanne,12/10/2020,2,Habitation
Des Arts Villeurbanne,12/10/2020,2,Habitation
Des Arts Villeurbanne,12/10/2020,"3,6",Habitation
Des Arts Villeurbanne,12/10/2020,"3,6",Habitation
Decitre Bellecour Lyon ,12/10/2020,38,Loisirs
DAB CA Villeurbanne,08/10/2020,30,Autres
Le Fantome De L' Romagnat,07/10/2020,12,Loisirs
Burgers De Papa Lyon Er,07/10/2020,"10,9",Loisirs
Bp Villeurb Facu,07/10/2020,1,Alimentation
Mutuelle Uneo,05/10/2020,"34,94",Santé/Bien être
Le Fournil Lyon ,05/10/2020,"6,85",Alimentation
Carrefour Lyon ,05/10/2020,"47,83",Alimentation
Snc Cote Villeurbanne,01/10/2020,9,Loisirs
Bp Villeurb Facu,30/09/2020,"3,77",Alimentation
Amazon Payments PAYLI,30/09/2020,"19,99",Autres
Sodap Condrieu,29/09/2020,"0,35",Alimentation
Sodap Condrieu,29/09/2020,"0,35",Alimentation
S.l.t.c. Lyon,29/09/2020,"30,2",Transports
Carrefour Market Villeurba ,29/09/2020,"34,18",Alimentation
Carrefour Market Villeurba ,29/09/2020,"24,01",Alimentation
Bouygues Telecom,28/09/2020,"24,99",Communications
Violette Berling Lyon,28/09/2020,"9,68",Alimentation
Des Arts Villeurbanne,28/09/2020,"3,6",Habitation
Des Arts Villeurbanne,28/09/2020,"3,6",Habitation
Des Arts Villeurbanne,28/09/2020,2,Habitation
Des Arts Villeurbanne,28/09/2020,2,Habitation
L Avenue ,23/09/2020,"14,4",Loisirs
S Et G Villeurbanne,21/09/2020,8,Alimentation
Phie Porte Des A St Priest ,21/09/2020,"9,55",Santé/Bien être
Kiabi St Priest,21/09/2020,25,Habillement
Izly/s-money Paris,21/09/2020,20,Alimentation
Insa Le Galilee ,21/09/2020,50,Alimentation
Auchan St Priest St Genis,21/09/2020,"46,09",Alimentation
Steak'n Shake Lyon,18/09/2020,"16,2",Loisirs
Dejbox Marcq En Baroeul,18/09/2020,"10,8",Alimentation
Chèque ,18/09/2020,"17,4",Autres
Republic Pressin Villeurba ,17/09/2020,35,Habitation
Univers Cafe Villeurbanne,16/09/2020,"5,5",Loisirs
Des Arts Villeurbanne,16/09/2020,2,Habitation
Des Arts Villeurbanne,16/09/2020,"3,6",Habitation
Celio,15/09/2020,"125,97",Habillement
Carrefour Market Villeurba ,15/09/2020,"50,33",Alimentation
Woko Lyon,14/09/2020,"5,5",Loisirs
Sm Casino Ville ,14/09/2020,"6,78",Alimentation
S.l.t.c. Lyon,14/09/2020,"30,2",Transports
Decitre Lyon,14/09/2020,"7,49",Loisirs
Virement Web Maman Anniv Jl,13/09/2020,25,Autres
Subway Villeurbanne,11/09/2020,"7,6",Loisirs
Sm Casino Ville ,11/09/2020,"2,87",Santé/Bien être
Radisson Blu Ho Lyon ,08/09/2020,"16,5",Loisirs
Mutuelle Uneo,07/09/2020,"34,94",Santé/Bien être
Carte Dino St Cyr Au Mon,07/09/2020,"17,39",Loisirs
Blablacar ,07/09/2020,"13,75",Transports
Blablacar ,02/09/2020,"17,5",Transports
Blablacar ,02/09/2020,"17,5",Transports
Boulangerie Ciza Villeurba ,31/08/2020,"9,5",Alimentation
Bouygues Telecom,27/08/2020,"24,99",Communications
Blablacar Paris,27/08/2020,"13,75",Transports
Blablacar ,27/08/2020,"16,25",Transports
La Francaise Des Boulogne,26/08/2020,5,Loisirs
Virement Web Maman ,19/08/2020,200,Autres
SNCF Internet Saint Denis,14/08/2020,"12,5",Transports
Virement Web Maman GSM,10/08/2020,"13,4",Communications
Lw-weddingwire Montreuil,10/08/2020,26,Autres
Amazon Payments PAYLI,10/08/2020,"73,7",Autres
Mutuelle Uneo,06/08/2020,"34,94",Santé/Bien être
Polytech Alumni Paris,03/08/2020,5,Autres
Bouygues Telecom,27/07/2020,"24,99",Communications
Tenue De Compte,23/07/2020,"3,15",Autres
SNCF Internet Paris ,07/07/2020,"21,5",Transports
Mutuelle Uneo,06/07/2020,"40,94",Santé/Bien être
SNCF Versailles,06/07/2020,"1,9",Transports
SNCF Versailles,06/07/2020,"10,95",Transports
La Francaise Des Boulogne,06/07/2020,5,Loisirs
Des Arts Villeurbanne,01/07/2020,1,Habitation
Des Arts Villeurbanne,01/07/2020,"3,6",Habitation
Des Arts Villeurbanne,01/07/2020,1,Habitation
Des Arts Villeurbanne,01/07/2020,1,Habitation
Des Arts Villeurbanne,01/07/2020,1,Habitation
Des Arts Villeurbanne,01/07/2020,"3,6",Habitation
Des Arts Villeurbanne,01/07/2020,1,Habitation
Vib's LYONX,30/06/2020,"59,99",Habillement
S.l.t.c. Lyon,30/06/2020,"15,1",Transports
Changemavitre Com Lyon ,30/06/2020,69,Communications
Carrefour Market Villeurba ,30/06/2020,"3,85",Alimentation
Blablacar ,30/06/2020,12,Transports
Amazon Eu SARL PAYLI,30/06/2020,"27,01",Loisirs
ninkasi Lyon,30/06/2020,"14,65",Loisirs
Bouygues Telecom,29/06/2020,"24,99",Communications
Mcdonalds ,29/06/2020,"15,55",Loisirs
Carrefour Market Villeurba ,29/06/2020,"34,56",Alimentation
Miss Saigon Lyon ,26/06/2020,"14,7",Loisirs
Uber Eats Help.uber.c help ,25/06/2020,"5,74",Alimentation
Ubereats Nl Amsterdam,25/06/2020,1,Autres
Carrefour Market Villeurba ,25/06/2020,"16,69",Alimentation
DABVilleurbanne,24/06/2020,40,Autres
S.l.t.c. Lyon,24/06/2020,"15,1",Transports
Des Arts Villeurbanne,24/06/2020,"3,6",Habitation
Des Arts Villeurbanne,24/06/2020,6,Habitation
Des Arts Villeurbanne,24/06/2020,1,Habitation
Des Arts Villeurbanne,24/06/2020,1,Habitation
Des Arts Villeurbanne,24/06/2020,"3,6",Habitation
Paypal ,18/06/2020,67,Loisirs
Fourniture Carte Débit Mcd I,16/06/2020,"21,5",Autres
Mutuelle Uneo,05/06/2020,"34,94",Santé/Bien être
Bouygues Telecom,27/05/2020,"24,99",Communications
Helloasso Lw Montreuil,22/05/2020,"2,01",Autres
Abo Magazines Montreuil,18/05/2020,19,Autres
Mutuelle Uneo,06/05/2020,"34,94",Santé/Bien être
Crous/s Money Paris,04/05/2020,7,Autres
Bouygues Telecom,27/04/2020,"24,99",Communications
Tenue De Compte,09/04/2020,"3,15",Autres
Mutuelle Uneo,06/04/2020,"34,94",Santé/Bien être
Bouygues Telecom,27/03/2020,"24,99",Communications
SNCF Internet Paris ,16/03/2020,"20,2",Transports
Carrefour Market Villeurba ,16/03/2020,"51,84",Alimentation
SNCF Internet Paris ,09/03/2020,"20,2",Transports
UNEO/,05/03/2020,"34,94",Santé/Bien être
SNCF Internet Saint Denis,02/03/2020,"20,2",Transports
Des Arts Villeurbanne,02/03/2020,"3,6",Habitation
Des Arts Villeurbanne,02/03/2020,1,Habitation
Des Arts Villeurbanne,02/03/2020,1,Habitation
Des Arts Villeurbanne,02/03/2020,1,Habitation
Des Arts Villeurbanne,02/03/2020,"3,6",Habitation
Des Arts Villeurbanne,02/03/2020,1,Habitation
Rilleux ,28/02/2020,"23,89",Alimentation
Maison Victoire Lyon,28/02/2020,1,Alimentation
Gast Charcuterie Lyon ,28/02/2020,"20,9",Autres
Cerise Et Potiro Lyon,28/02/2020,"8,18",Alimentation
Carrefour Market Villeurba ,28/02/2020,"48,25",Alimentation
Burger King Lyon ,28/02/2020,1,Loisirs
Bouygues Telecom,27/02/2020,"24,99",Communications
Top Achat St Ouen,27/02/2020,"1 268,91",Autres
Insa Le Galilee Villeurban ,27/02/2020,50,Alimentation
Qdc Services Lyon,24/02/2020,"15,5",Loisirs
Izly/s-money Paris,24/02/2020,"37,5",Alimentation
Vib's LYONX,17/02/2020,"65,98",Habillement
Des Arts Villeurbanne,17/02/2020,6,Habitation
Des Arts Villeurbanne,17/02/2020,1,Habitation
Des Arts Villeurbanne,17/02/2020,"3,6",Habitation
Des Arts Villeurbanne,17/02/2020,1,Habitation
Des Arts Villeurbanne,17/02/2020,1,Habitation
Des Arts Villeurbanne,17/02/2020,1,Habitation
Carrefour Market Villeurba ,17/02/2020,"45,67",Alimentation
Carrefour Lyon,17/02/2020,"7,92",Alimentation
Patisserie Chocolat Lyon ,14/02/2020,"6,5",Alimentation
La Halle Villeur,12/02/2020,"24,99",Habillement
Bp Villeurb Facu,11/02/2020,"12,15",Alimentation
Fournil Opera Lyon,10/02/2020,"5,2",Alimentation
Decathlon ,10/02/2020,18,Autres
Izly/s-money Paris,06/02/2020,"37,5",Alimentation
Insa Le Galilee Villeurban ,06/02/2020,50,Alimentation
Carrefour Market Villeurba ,06/02/2020,"3,16",Alimentation
UNEO/,05/02/2020,"34,94",Santé/Bien être
Veng Hour Lyon Cedex ,05/02/2020,"16,2",Loisirs
Celio,05/02/2020,"49,99",Habillement
Tandooretwok Lyon,03/02/2020,22,Loisirs
S.l.t.c. Lyon,03/02/2020,"30,2",Transports
Des Arts Villeurbanne,03/02/2020,1,Habitation
Des Arts Villeurbanne,03/02/2020,"3,6",Habitation
Des Arts Villeurbanne,03/02/2020,1,Habitation
Des Arts Villeurbanne,03/02/2020,1,Habitation
Des Arts Villeurbanne,03/02/2020,"3,6",Habitation
Des Arts Villeurbanne,03/02/2020,1,Habitation
Virement Web Paul,31/01/2020,6,Autres
Bouygues Telecom,27/01/2020,"24,99",Communications
Carrefour Market Villeurba ,27/01/2020,"61,56",Alimentation
Izly/s-money Paris,24/01/2020,"37,5",Alimentation
DAB GAB Ext Grand Cl ,23/01/2020,20,Autres
Cuol Lyon,22/01/2020,50,Santé/Bien être
Des Arts Villeurbanne,20/01/2020,1,Habitation
Des Arts Villeurbanne,20/01/2020,"3,6",Habitation
Des Arts Villeurbanne,20/01/2020,1,Habitation
Des Arts Villeurbanne,20/01/2020,1,Habitation
Des Arts Villeurbanne,20/01/2020,1,Habitation
Des Arts Villeurbanne,20/01/2020,"3,6",Habitation
Lepartcaroline Lyon ,17/01/2020,39,Santé/Bien être
Insa Le Galilee Villeurban ,16/01/2020,50,Alimentation
Bp Villeurb Facu,14/01/2020,"3,73",Alimentation
Izly/s-money Paris,10/01/2020,"37,5",Alimentation
Tenue De Compte,08/01/2020,"3,15",Autres
Virement Web Adrien Anniv Charlott,07/01/2020,"2,85",Autres
Mutuelle Uneo,07/01/2020,"40,94",Santé/Bien être
Carrefour Market Villeurba ,07/01/2020,"54,98",Alimentation
