Date;Libellé;Débit euros;Crédit euros;Catégorie
30/12/2020;"Carte
Voisin Lyonmagvirt /       29/12";30;;Cadeaux
28/12/2020;"Prlv
Bouygues Telecom";24.99;;Téléphone
