Date;Libellé;Débit euros;Crédit euros;Catégorie
27/12/2021;"PRELEVEMENT        
Bouygues Telecom";11.99;;Téléphone
20/12/2021;"PAIEMENT PAR CARTE      
FNAC LYON CEDEX 0          18/12 ";68.98;;Cadeaux
